rcThrottle,rcRoll,rcPitch,rcYaw,ekf.phi,ekf.theta,ekf.psi,lpfGyrX,lpfGyrY,lpfGyrZ,lpfAccX,lpfAccY,lpfAccZ
0,0,0.095885108,0.084147098,0.001209249,0.073043863,0,-2.731585673,5.167180108,0.03916739,-0.609525333,-0.1099884,9.677717338
0.0008,0.001005305,0.096546106,0.084282625,-0.009734789,0.093708478,0.001734257,0.383392987,3.354419512,0.029189053,-0.898455167,0.05786302,9.613964225
0.0016,0.002010585,0.097205733,0.08441762,0.004306876,0.099852849,6.250758645,0.188813505,-1.385596232,0.032458596,-0.924280819,0.193933911,9.630839255
0.0024,0.003015815,0.097863978,0.084552081,-0.008223399,0.082700557,0.00613864,-0.795990672,2.394755321,0.025982001,-0.786476443,-0.020824028,9.742529684
0.0032,0.004020968,0.098520832,0.084686008,-0.002044887,0.119002633,0.046699358,2.159131207,2.644430346,0.036649991,-1.203444045,-0.082907588,9.746630701
0.004,0.005026019,0.099176286,0.084819401,0.008981181,0.103742419,0.038401799,-0.266273437,-2.828952092,0.029898786,-0.795998836,0.156077852,9.789841724
0.0048,0.006030944,0.099830331,0.084952257,-0.0041884,0.096386922,6.241526337,-1.395697727,-1.779039056,0.026878936,-0.937766185,0.010880563,9.829745302
0.0056,0.007035716,0.100482957,0.085084577,-0.002146022,0.089441459,0.001061147,0.907266205,-0.167585891,0.031758724,-0.828417958,0.02659017,9.641452378
0.0064,0.00804031,0.101134154,0.085216359,0.003074779,0.095066063,0.034133816,-1.244157534,-0.115696292,0.025691929,-0.934761084,0.158396562,9.65281127
0.0072,0.009044701,0.101783914,0.085347604,-0.01204668,0.088502267,0.019812362,-0.379615889,0.121067848,0.029618146,-1.026930918,-0.277347566,9.729788225
0.008,0.010048864,0.102432228,0.085478309,3.04E-05,0.096026627,0.000273152,3.983107329,0.559753907,0.037771466,-0.860596123,-0.022877516,9.882908791
0.0088,0.011052772,0.103079086,0.085608474,0.019806763,0.093001684,6.277207817,0.221391027,1.832851227,0.032761926,-0.883155738,0.14404387,9.770778344
0.0096,0.012056402,0.103724479,0.085738098,0.001777656,0.110762035,6.271557095,-2.461772323,2.799194405,0.038694657,-1.019218191,0.096837201,9.654764268
0.0104,0.013059727,0.104368398,0.085867181,0.000123649,0.115320908,6.257253152,1.806949144,-2.75796808,0.031496966,-1.043769214,-0.122290134,9.648904141
0.0112,0.014062722,0.105010833,0.085995722,0.01621181,0.088673007,0.056200812,1.370811028,-1.969601788,0.025416797,-0.728844752,0.136791823,9.916713319
0.012,0.015065361,0.105651776,0.086123719,0.011059259,0.099513032,6.264721288,-1.540652888,1.289997786,0.028696211,-0.727471703,0.296419734,9.630312253
0.0128,0.01606762,0.106291218,0.086251172,0.003979429,0.098964915,0.03012736,2.353980307,1.869050494,0.042087041,-0.917328472,0.125727413,9.868479736
0.0136,0.017069473,0.106929149,0.086378081,0.029840831,0.114421002,6.254380685,0.478139074,0.210456956,0.029160088,-1.018628288,0.429248403,9.664304882
